x,y,z,field
-0.75,-0.75,0.0,0.067
-0.75,-0.675,0.0,0.068
-0.75,-0.6000000000000001,0.0,0.068
-0.75,-0.5250000000000001,0.0,0.068
-0.75,-0.4500000000000001,0.0,0.069
-0.75,-0.3750000000000001,0.0,0.069
-0.75,-0.3000000000000001,0.0,0.069
-0.75,-0.2250000000000001,0.0,0.07
-0.75,-0.15000000000000008,0.0,0.07
-0.75,-0.07500000000000008,0.0,0.07
-0.75,-8.326672684688674e-17,0.0,0.07
-0.75,0.07499999999999991,0.0,0.072
-0.75,0.1499999999999999,0.0,0.072
-0.75,0.22499999999999992,0.0,0.072
-0.75,0.29999999999999993,0.0,0.072
-0.75,0.37499999999999994,0.0,0.073
-0.75,0.44999999999999996,0.0,0.073
-0.75,0.5249999999999999,0.0,0.073
-0.75,0.5999999999999999,0.0,0.074
-0.75,0.6749999999999998,0.0,0.074
-0.75,0.7499999999999998,0.0,0.074
-0.675,-0.7500000000000002,0.0,0.06
-0.675,-0.6750000000000003,0.0,0.062
-0.675,-0.6000000000000003,0.0,0.062
-0.675,-0.5250000000000004,0.0,0.062
-0.675,-0.45000000000000034,0.0,0.062
-0.675,-0.37500000000000033,0.0,0.063
-0.675,-0.3000000000000003,0.0,0.063
-0.675,-0.2250000000000003,0.0,0.063
-0.675,-0.1500000000000003,0.0,0.064
-0.675,-0.0750000000000003,0.0,0.064
-0.675,-3.0531133177191805e-16,0.0,0.064
-0.675,0.07499999999999969,0.0,0.064
-0.675,0.1499999999999997,0.0,0.065
-0.675,0.2249999999999997,0.0,0.065
-0.675,0.2999999999999997,0.0,0.065
-0.675,0.3749999999999997,0.0,0.065
-0.675,0.44999999999999973,0.0,0.067
-0.675,0.5249999999999997,0.0,0.067
-0.675,0.5999999999999996,0.0,0.067
-0.675,0.6749999999999996,0.0,0.068
-0.675,0.7499999999999996,0.0,0.068
-0.6000000000000001,-0.7500000000000004,0.0,0.053
-0.6000000000000001,-0.6750000000000005,0.0,0.053
-0.6000000000000001,-0.6000000000000005,0.0,0.054
-0.6000000000000001,-0.5250000000000006,0.0,0.054
-0.6000000000000001,-0.45000000000000057,0.0,0.054
-0.6000000000000001,-0.37500000000000056,0.0,0.055
-0.6000000000000001,-0.30000000000000054,0.0,0.055
-0.6000000000000001,-0.22500000000000053,0.0,0.055
-0.6000000000000001,-0.15000000000000052,0.0,0.057
-0.6000000000000001,-0.07500000000000052,0.0,0.057
-0.6000000000000001,-5.273559366969494e-16,0.0,0.057
-0.6000000000000001,0.07499999999999947,0.0,0.057
-0.6000000000000001,0.14999999999999947,0.0,0.058
-0.6000000000000001,0.22499999999999948,0.0,0.058
-0.6000000000000001,0.2999999999999995,0.0,0.058
-0.6000000000000001,0.3749999999999995,0.0,0.058
-0.6000000000000001,0.4499999999999995,0.0,0.059
-0.6000000000000001,0.5249999999999995,0.0,0.059
-0.6000000000000001,0.5999999999999994,0.0,0.059
-0.6000000000000001,0.6749999999999994,0.0,0.06
-0.6000000000000001,0.7499999999999993,0.0,0.06
-0.5250000000000001,-0.7500000000000007,0.0,0.046
-0.5250000000000001,-0.6750000000000007,0.0,0.046
-0.5250000000000001,-0.6000000000000008,0.0,0.047
-0.5250000000000001,-0.5250000000000008,0.0,0.047
-0.5250000000000001,-0.4500000000000008,0.0,0.047
-0.5250000000000001,-0.3750000000000008,0.0,0.048
-0.5250000000000001,-0.30000000000000077,0.0,0.048
-0.5250000000000001,-0.22500000000000075,0.0,0.048
-0.5250000000000001,-0.15000000000000074,0.0,0.049
-0.5250000000000001,-0.07500000000000075,0.0,0.049
-0.5250000000000001,-7.494005416219807e-16,0.0,0.049
-0.5250000000000001,0.07499999999999925,0.0,0.049
-0.5250000000000001,0.14999999999999925,0.0,0.051
-0.5250000000000001,0.22499999999999926,0.0,0.051
-0.5250000000000001,0.29999999999999927,0.0,0.051
-0.5250000000000001,0.3749999999999993,0.0,0.051
-0.5250000000000001,0.4499999999999993,0.0,0.052
-0.5250000000000001,0.5249999999999992,0.0,0.052
-0.5250000000000001,0.5999999999999992,0.0,0.052
-0.5250000000000001,0.6749999999999992,0.0,0.052
-0.5250000000000001,0.7499999999999991,0.0,0.053
-0.4500000000000001,-0.7500000000000009,0.0,0.038
-0.4500000000000001,-0.6750000000000009,0.0,0.038
-0.4500000000000001,-0.600000000000001,0.0,0.039
-0.4500000000000001,-0.525000000000001,0.0,0.039
-0.4500000000000001,-0.450000000000001,0.0,0.039
-0.4500000000000001,-0.375000000000001,0.0,0.039
-0.4500000000000001,-0.300000000000001,0.0,0.041
-0.4500000000000001,-0.22500000000000098,0.0,0.041
-0.4500000000000001,-0.15000000000000097,0.0,0.041
-0.4500000000000001,-0.07500000000000097,0.0,0.042
-0.4500000000000001,-9.71445146547012e-16,0.0,0.042
-0.4500000000000001,0.07499999999999903,0.0,0.042
-0.4500000000000001,0.14999999999999902,0.0,0.042
-0.4500000000000001,0.22499999999999903,0.0,0.043
-0.4500000000000001,0.29999999999999905,0.0,0.043
-0.4500000000000001,0.37499999999999906,0.0,0.043
-0.4500000000000001,0.44999999999999907,0.0,0.043
-0.4500000000000001,0.524999999999999,0.0,0.044
-0.4500000000000001,0.599999999999999,0.0,0.044
-0.4500000000000001,0.6749999999999989,0.0,0.044
-0.4500000000000001,0.7499999999999989,0.0,0.046
-0.3750000000000001,-0.7500000000000011,0.0,0.031
-0.3750000000000001,-0.6750000000000012,0.0,0.031
-0.3750000000000001,-0.6000000000000012,0.0,0.032
-0.3750000000000001,-0.5250000000000012,0.0,0.032
-0.3750000000000001,-0.45000000000000123,0.0,0.032
-0.3750000000000001,-0.3750000000000012,0.0,0.033
-0.3750000000000001,-0.3000000000000012,0.0,0.033
-0.3750000000000001,-0.2250000000000012,0.0,0.033
-0.3750000000000001,-0.1500000000000012,0.0,0.033
-0.3750000000000001,-0.07500000000000119,0.0,0.034
-0.3750000000000001,-1.1934897514720433e-15,0.0,0.034
-0.3750000000000001,0.0749999999999988,0.0,0.034
-0.3750000000000001,0.1499999999999988,0.0,0.036
-0.3750000000000001,0.2249999999999988,0.0,0.036
-0.3750000000000001,0.2999999999999988,0.0,0.036
-0.3750000000000001,0.37499999999999883,0.0,0.036
-0.3750000000000001,0.44999999999999885,0.0,0.037
-0.3750000000000001,0.5249999999999988,0.0,0.037
-0.3750000000000001,0.5999999999999988,0.0,0.037
-0.3750000000000001,0.6749999999999987,0.0,0.037
-0.3750000000000001,0.7499999999999987,0.0,0.038
-0.3000000000000001,-0.7500000000000013,0.0,0.023
-0.3000000000000001,-0.6750000000000014,0.0,0.023
-0.3000000000000001,-0.6000000000000014,0.0,0.024
-0.3000000000000001,-0.5250000000000015,0.0,0.024
-0.3000000000000001,-0.45000000000000145,0.0,0.024
-0.3000000000000001,-0.37500000000000144,0.0,0.024
-0.3000000000000001,-0.30000000000000143,0.0,0.026
-0.3000000000000001,-0.22500000000000142,0.0,0.026
-0.3000000000000001,-0.1500000000000014,0.0,0.026
-0.3000000000000001,-0.07500000000000141,0.0,0.027
-0.3000000000000001,-1.4155343563970746e-15,0.0,0.027
-0.3000000000000001,0.07499999999999858,0.0,0.027
-0.3000000000000001,0.14999999999999858,0.0,0.027
-0.3000000000000001,0.2249999999999986,0.0,0.028
-0.3000000000000001,0.2999999999999986,0.0,0.028
-0.3000000000000001,0.3749999999999986,0.0,0.028
-0.3000000000000001,0.4499999999999986,0.0,0.028
-0.3000000000000001,0.5249999999999986,0.0,0.029
-0.3000000000000001,0.5999999999999985,0.0,0.029
-0.3000000000000001,0.6749999999999985,0.0,0.029
-0.3000000000000001,0.7499999999999984,0.0,0.031
-0.2250000000000001,-0.7500000000000016,0.0,0.016
-0.2250000000000001,-0.6750000000000016,0.0,0.016
-0.2250000000000001,-0.6000000000000016,0.0,0.016
-0.2250000000000001,-0.5250000000000017,0.0,0.017
-0.2250000000000001,-0.4500000000000017,0.0,0.017
-0.2250000000000001,-0.37500000000000167,0.0,0.017
-0.2250000000000001,-0.30000000000000165,0.0,0.018
-0.2250000000000001,-0.22500000000000164,0.0,0.018
-0.2250000000000001,-0.15000000000000163,0.0,0.018
-0.2250000000000001,-0.07500000000000163,0.0,0.019
-0.2250000000000001,-1.6375789613221059e-15,0.0,0.019
-0.2250000000000001,0.07499999999999836,0.0,0.019
-0.2250000000000001,0.14999999999999836,0.0,0.019
-0.2250000000000001,0.22499999999999837,0.0,0.021
-0.2250000000000001,0.2999999999999984,0.0,0.021
-0.2250000000000001,0.3749999999999984,0.0,0.021
-0.2250000000000001,0.4499999999999984,0.0,0.021
-0.2250000000000001,0.5249999999999984,0.0,0.022
-0.2250000000000001,0.5999999999999983,0.0,0.022
-0.2250000000000001,0.6749999999999983,0.0,0.022
-0.2250000000000001,0.7499999999999982,0.0,0.022
-0.15000000000000008,-0.7500000000000018,0.0,0.008
-0.15000000000000008,-0.6750000000000018,0.0,0.008
-0.15000000000000008,-0.6000000000000019,0.0,0.008
-0.15000000000000008,-0.5250000000000019,0.0,0.009
-0.15000000000000008,-0.4500000000000019,0.0,0.009
-0.15000000000000008,-0.3750000000000019,0.0,0.009
-0.15000000000000008,-0.3000000000000019,0.0,0.011
-0.15000000000000008,-0.22500000000000187,0.0,0.011
-0.15000000000000008,-0.15000000000000185,0.0,0.011
-0.15000000000000008,-0.07500000000000186,0.0,0.011
-0.15000000000000008,-1.8596235662471372e-15,0.0,0.012
-0.15000000000000008,0.07499999999999814,0.0,0.012
-0.15000000000000008,0.14999999999999813,0.0,0.012
-0.15000000000000008,0.22499999999999815,0.0,0.012
-0.15000000000000008,0.29999999999999816,0.0,0.013
-0.15000000000000008,0.37499999999999817,0.0,0.013
-0.15000000000000008,0.4499999999999982,0.0,0.013
-0.15000000000000008,0.5249999999999981,0.0,0.013
-0.15000000000000008,0.5999999999999981,0.0,0.014
-0.15000000000000008,0.674999999999998,0.0,0.014
-0.15000000000000008,0.749999999999998,0.0,0.014
-0.07500000000000008,-0.750000000000002,0.0,0.001
-0.07500000000000008,-0.675000000000002,0.0,0.001
-0.07500000000000008,-0.6000000000000021,0.0,0.001
-0.07500000000000008,-0.5250000000000021,0.0,0.002
-0.07500000000000008,-0.4500000000000021,0.0,0.002
-0.07500000000000008,-0.3750000000000021,0.0,0.002
-0.07500000000000008,-0.3000000000000021,0.0,0.003
-0.07500000000000008,-0.2250000000000021,0.0,0.003
-0.07500000000000008,-0.15000000000000208,0.0,0.003
-0.07500000000000008,-0.07500000000000208,0.0,0.004
-0.07500000000000008,-2.0816681711721685e-15,0.0,0.004
-0.07500000000000008,0.07499999999999792,0.0,0.004
-0.07500000000000008,0.1499999999999979,0.0,0.004
-0.07500000000000008,0.22499999999999792,0.0,0.006
-0.07500000000000008,0.29999999999999793,0.0,0.006
-0.07500000000000008,0.37499999999999795,0.0,0.006
-0.07500000000000008,0.44999999999999796,0.0,0.006
-0.07500000000000008,0.5249999999999979,0.0,0.007
-0.07500000000000008,0.5999999999999979,0.0,0.007
-0.07500000000000008,0.6749999999999978,0.0,0.007
-0.07500000000000008,0.7499999999999978,0.0,0.007
-8.326672684688674e-17,-0.7500000000000022,0.0,-0.008
-8.326672684688674e-17,-0.6750000000000023,0.0,-0.007
-8.326672684688674e-17,-0.6000000000000023,0.0,-0.007
-8.326672684688674e-17,-0.5250000000000024,0.0,-0.007
-8.326672684688674e-17,-0.45000000000000234,0.0,-0.005
-8.326672684688674e-17,-0.37500000000000233,0.0,-0.005
-8.326672684688674e-17,-0.3000000000000023,0.0,-0.005
-8.326672684688674e-17,-0.2250000000000023,0.0,-0.005
-8.326672684688674e-17,-0.1500000000000023,0.0,-0.004
-8.326672684688674e-17,-0.0750000000000023,0.0,-0.004
-8.326672684688674e-17,-2.3037127760972e-15,0.0,-0.004
-8.326672684688674e-17,0.0749999999999977,0.0,-0.003
-8.326672684688674e-17,0.1499999999999977,0.0,-0.003
-8.326672684688674e-17,0.2249999999999977,0.0,-0.003
-8.326672684688674e-17,0.2999999999999977,0.0,-0.003
-8.326672684688674e-17,0.3749999999999977,0.0,-0.002
-8.326672684688674e-17,0.44999999999999774,0.0,-0.002
