x,y,z,field
-0.75,-0.75,-30.0,-0.009
-0.75,-0.375,-30.0,-0.01
-0.75,0.0,-30.0,-0.01
-0.75,0.375,-30.0,-0.013
-0.75,0.75,-30.0,-0.014
-0.375,-0.75,-30.0,-0.009
-0.375,-0.375,-30.0,-0.01
-0.375,0.0,-30.0,-0.013
-0.375,0.375,-30.0,-0.013
-0.375,0.75,-30.0,-0.014
0.0,-0.75,-30.0,-0.009
0.0,-0.375,-30.0,-0.01
0.0,0.0,-30.0,-0.013
0.0,0.375,-30.0,-0.013
0.0,0.75,-30.0,-0.014
0.375,-0.75,-30.0,-0.009
0.375,-0.375,-30.0,-0.01
0.375,0.0,-30.0,-0.01
0.375,0.375,-30.0,-0.013
0.375,0.75,-30.0,-0.014
0.75,-0.75,-30.0,-0.009
0.75,-0.375,-30.0,-0.009
0.75,0.0,-30.0,-0.01
0.75,0.375,-30.0,-0.013
0.75,0.75,-30.0,-0.014
-0.75,-0.75,-29.0,-0.009
-0.75,-0.375,-29.0,-0.01
-0.75,0.0,-29.0,-0.01
-0.75,0.375,-29.0,-0.013
-0.75,0.75,-29.0,-0.014
-0.375,-0.75,-29.0,-0.009
-0.375,-0.375,-29.0,-0.01
-0.375,0.0,-29.0,-0.013
-0.375,0.375,-29.0,-0.013
-0.375,0.75,-29.0,-0.014
0.0,-0.75,-29.0,-0.009
0.0,-0.375,-29.0,-0.01
0.0,0.0,-29.0,-0.013
0.0,0.375,-29.0,-0.013
0.0,0.75,-29.0,-0.014
0.375,-0.75,-29.0,-0.009
0.375,-0.375,-29.0,-0.01
0.375,0.0,-29.0,-0.01
0.375,0.375,-29.0,-0.013
0.375,0.75,-29.0,-0.014
0.75,-0.75,-29.0,-0.009
0.75,-0.375,-29.0,-0.009
0.75,0.0,-29.0,-0.01
0.75,0.375,-29.0,-0.013
0.75,0.75,-29.0,-0.014
-0.75,-0.75,-28.0,-0.008
-0.75,-0.375,-28.0,-0.009
-0.75,0.0,-28.0,-0.01
-0.75,0.375,-28.0,-0.013
-0.75,0.75,-28.0,-0.014
-0.375,-0.75,-28.0,-0.009
-0.375,-0.375,-28.0,-0.01
-0.375,0.0,-28.0,-0.013
-0.375,0.375,-28.0,-0.013
-0.375,0.75,-28.0,-0.014
0.0,-0.75,-28.0,-0.009
0.0,-0.375,-28.0,-0.01
0.0,0.0,-28.0,-0.013
0.0,0.375,-28.0,-0.014
0.0,0.75,-28.0,-0.014
0.375,-0.75,-28.0,-0.009
0.375,-0.375,-28.0,-0.01
0.375,0.0,-28.0,-0.01
0.375,0.375,-28.0,-0.013
0.375,0.75,-28.0,-0.014
0.75,-0.75,-28.0,-0.008
0.75,-0.375,-28.0,-0.009
0.75,0.0,-28.0,-0.01
0.75,0.375,-28.0,-0.013
0.75,0.75,-28.0,-0.014
-0.75,-0.75,-27.0,-0.008
-0.75,-0.375,-27.0,-0.009
-0.75,0.0,-27.0,-0.01
-0.75,0.375,-27.0,-0.013
-0.75,0.75,-27.0,-0.014
-0.375,-0.75,-27.0,-0.009
-0.375,-0.375,-27.0,-0.01
-0.375,0.0,-27.0,-0.013
-0.375,0.375,-27.0,-0.014
-0.375,0.75,-27.0,-0.015
0.0,-0.75,-27.0,-0.009
0.0,-0.375,-27.0,-0.01
0.0,0.0,-27.0,-0.013
0.0,0.375,-27.0,-0.014
0.0,0.75,-27.0,-0.015
0.375,-0.75,-27.0,-0.008
0.375,-0.375,-27.0,-0.009
0.375,0.0,-27.0,-0.01
0.375,0.375,-27.0,-0.013
0.375,0.75,-27.0,-0.014
0.75,-0.75,-27.0,-0.008
0.75,-0.375,-27.0,-0.009
0.75,0.0,-27.0,-0.01
0.75,0.375,-27.0,-0.013
0.75,0.75,-27.0,-0.014
-0.75,-0.75,-26.0,-0.008
-0.75,-0.375,-26.0,-0.009
-0.75,0.0,-26.0,-0.01
-0.75,0.375,-26.0,-0.013
-0.75,0.75,-26.0,-0.015
-0.375,-0.75,-26.0,-0.008
-0.375,-0.375,-26.0,-0.009
-0.375,0.0,-26.0,-0.013
-0.375,0.375,-26.0,-0.014
-0.375,0.75,-26.0,-0.015
0.0,-0.75,-26.0,-0.008
0.0,-0.375,-26.0,-0.009
0.0,0.0,-26.0,-0.013
0.0,0.375,-26.0,-0.014
0.0,0.75,-26.0,-0.015
0.375,-0.75,-26.0,-0.008
0.375,-0.375,-26.0,-0.009
0.375,0.0,-26.0,-0.01
0.375,0.375,-26.0,-0.014
0.375,0.75,-26.0,-0.015
0.75,-0.75,-26.0,-0.008
0.75,-0.375,-26.0,-0.009
0.75,0.0,-26.0,-0.01
0.75,0.375,-26.0,-0.013
0.75,0.75,-26.0,-0.014
-0.75,-0.75,-25.0,-0.007
-0.75,-0.375,-25.0,-0.009
-0.75,0.0,-25.0,-0.01
-0.75,0.375,-25.0,-0.014
-0.75,0.75,-25.0,-0.015
-0.375,-0.75,-25.0,-0.008
-0.375,-0.375,-25.0,-0.009
-0.375,0.0,-25.0,-0.013
-0.375,0.375,-25.0,-0.014
-0.375,0.75,-25.0,-0.015
0.0,-0.75,-25.0,-0.008
0.0,-0.375,-25.0,-0.009
0.0,0.0,-25.0,-0.013
0.0,0.375,-25.0,-0.014
0.0,0.75,-25.0,-0.015
0.375,-0.75,-25.0,-0.008
0.375,-0.375,-25.0,-0.009
0.375,0.0,-25.0,-0.013
0.375,0.375,-25.0,-0.014
0.375,0.75,-25.0,-0.015
0.75,-0.75,-25.0,-0.007
0.75,-0.375,-25.0,-0.009
0.75,0.0,-25.0,-0.01
0.75,0.375,-25.0,-0.013
0.75,0.75,-25.0,-0.015
-0.75,-0.75,-24.0,-0.007
-0.75,-0.375,-24.0,-0.009
-0.75,0.0,-24.0,-0.01
-0.75,0.375,-24.0,-0.014
-0.75,0.75,-24.0,-0.015
-0.375,-0.75,-24.0,-0.007
-0.375,-0.375,-24.0,-0.009
-0.375,0.0,-24.0,-0.013
-0.375,0.375,-24.0,-0.014
-0.375,0.75,-24.0,-0.016
0.0,-0.75,-24.0,-0.007
0.0,-0.375,-24.0,-0.009
0.0,0.0,-24.0,-0.013
0.0,0.375,-24.0,-0.014
0.0,0.75,-24.0,-0.016
0.375,-0.75,-24.0,-0.007
0.375,-0.375,-24.0,-0.009
0.375,0.0,-24.0,-0.013
0.375,0.375,-24.0,-0.014
0.375,0.75,-24.0,-0.016
0.75,-0.75,-24.0,-0.007
0.75,-0.375,-24.0,-0.008
0.75,0.0,-24.0,-0.01
0.75,0.375,-24.0,-0.013
0.75,0.75,-24.0,-0.015
-0.75,-0.75,-23.0,-0.005
-0.75,-0.375,-23.0,-0.008
-0.75,0.0,-23.0,-0.01
-0.75,0.375,-23.0,-0.014
-0.75,0.75,-23.0,-0.016
-0.375,-0.75,-23.0,-0.007
-0.375,-0.375,-23.0,-0.009
-0.375,0.0,-23.0,-0.013
-0.375,0.375,-23.0,-0.015
-0.375,0.75,-23.0,-0.018
0.0,-0.75,-23.0,-0.007
0.0,-0.375,-23.0,-0.009
0.0,0.0,-23.0,-0.013
0.0,0.375,-23.0,-0.015
0.0,0.75,-23.0,-0.018
0.375,-0.75,-23.0,-0.007
0.375,-0.375,-23.0,-0.009
0.375,0.0,-23.0,-0.013
0.375,0.375,-23.0,-0.015
0.375,0.75,-23.0,-0.016
0.75,-0.75,-23.0,-0.005
0.75,-0.375,-23.0,-0.008
0.75,0.0,-23.0,-0.01
0.75,0.375,-23.0,-0.014
0.75,0.75,-23.0,-0.016
-0.75,-0.75,-22.0,-0.004
-0.75,-0.375,-22.0,-0.008
-0.75,0.0,-22.0,-0.01
-0.75,0.375,-22.0,-0.014
-0.75,0.75,-22.0,-0.018
-0.375,-0.75,-22.0,-0.005
-0.375,-0.375,-22.0,-0.008
-0.375,0.0,-22.0,-0.013
-0.375,0.375,-22.0,-0.015
-0.375,0.75,-22.0,-0.019
0.0,-0.75,-22.0,-0.005
0.0,-0.375,-22.0,-0.009
0.0,0.0,-22.0,-0.013
0.0,0.375,-22.0,-0.015
0.0,0.75,-22.0,-0.019
0.375,-0.75,-22.0,-0.005
0.375,-0.375,-22.0,-0.008
0.375,0.0,-22.0,-0.013
0.375,0.375,-22.0,-0.015
0.375,0.75,-22.0,-0.018
0.75,-0.75,-22.0,-0.004
0.75,-0.375,-22.0,-0.007
0.75,0.0,-22.0,-0.01
0.75,0.375,-22.0,-0.014
0.75,0.75,-22.0,-0.016
-0.75,-0.75,-21.0,-0.003
-0.75,-0.375,-21.0,-0.007
-0.75,0.0,-21.0,-0.01
-0.75,0.375,-21.0,-0.015
-0.75,0.75,-21.0,-0.019
-0.375,-0.75,-21.0,-0.004
-0.375,-0.375,-21.0,-0.008
-0.375,0.0,-21.0,-0.013
-0.375,0.375,-21.0,-0.016
-0.375,0.75,-21.0,-0.02
0.0,-0.75,-21.0,-0.004
0.0,-0.375,-21.0,-0.008
0.0,0.0,-21.0,-0.013
0.0,0.375,-21.0,-0.016
0.0,0.75,-21.0,-0.02
0.375,-0.75,-21.0,-0.004
0.375,-0.375,-21.0,-0.008
0.375,0.0,-21.0,-0.013
0.375,0.375,-21.0,-0.016
0.375,0.75,-21.0,-0.02
0.75,-0.75,-21.0,-0.003
0.75,-0.375,-21.0,-0.007
0.75,0.0,-21.0,-0.009
0.75,0.375,-21.0,-0.014
0.75,0.75,-21.0,-0.018
-0.75,-0.75,-20.0,0.0
-0.75,-0.375,-20.0,-0.005
-0.75,0.0,-20.0,-0.01
-0.75,0.375,-20.0,-0.016
-0.75,0.75,-20.0,-0.02
-0.375,-0.75,-20.0,-0.002
-0.375,-0.375,-20.0,-0.007
-0.375,0.0,-20.0,-0.013
-0.375,0.375,-20.0,-0.018
-0.375,0.75,-20.0,-0.021
0.0,-0.75,-20.0,-0.003
0.0,-0.375,-20.0,-0.008
0.0,0.0,-20.0,-0.013
0.0,0.375,-20.0,-0.018
0.0,0.75,-20.0,-0.023
0.375,-0.75,-20.0,-0.002
0.375,-0.375,-20.0,-0.007
0.375,0.0,-20.0,-0.013
0.375,0.375,-20.0,-0.018
0.375,0.75,-20.0,-0.021
0.75,-0.75,-20.0,0.0
0.75,-0.375,-20.0,-0.005
0.75,0.0,-20.0,-0.009
0.75,0.375,-20.0,-0.015
0.75,0.75,-20.0,-0.02
-0.75,-0.75,-19.0,0.002
-0.75,-0.375,-19.0,-0.004
-0.75,0.0,-19.0,-0.01
-0.75,0.375,-19.0,-0.016
-0.75,0.75,-19.0,-0.023
-0.375,-0.75,-19.0,0.001
-0.375,-0.375,-19.0,-0.005
-0.375,0.0,-19.0,-0.013
-0.375,0.375,-19.0,-0.019
-0.375,0.75,-19.0,-0.025
0.0,-0.75,-19.0,0.0
0.0,-0.375,-19.0,-0.007
0.0,0.0,-19.0,-0.014
0.0,0.375,-19.0,-0.019
0.0,0.75,-19.0,-0.025
0.375,-0.75,-19.0,0.001
0.375,-0.375,-19.0,-0.005
0.375,0.0,-19.0,-0.013
0.375,0.375,-19.0,-0.019
0.375,0.75,-19.0,-0.025
0.75,-0.75,-19.0,0.002
0.75,-0.375,-19.0,-0.003
0.75,0.0,-19.0,-0.009
0.75,0.375,-19.0,-0.016
0.75,0.75,-19.0,-0.021
-0.75,-0.75,-18.0,0.006
-0.75,-0.375,-18.0,-0.002
-0.75,0.0,-18.0,-0.01
-0.75,0.375,-18.0,-0.019
-0.75,0.75,-18.0,-0.026
-0.375,-0.75,-18.0,0.003
-0.375,-0.375,-18.0,-0.004
-0.375,0.0,-18.0,-0.014
-0.375,0.375,-18.0,-0.021
-0.375,0.75,-18.0,-0.03
0.0,-0.75,-18.0,0.003
0.0,-0.375,-18.0,-0.005
0.0,0.0,-18.0,-0.014
0.0,0.375,-18.0,-0.023
0.0,0.75,-18.0,-0.03
0.375,-0.75,-18.0,0.004
0.375,-0.375,-18.0,-0.004
0.375,0.0,-18.0,-0.013
0.375,0.375,-18.0,-0.021
0.375,0.75,-18.0,-0.029
0.75,-0.75,-18.0,0.007
0.75,-0.375,-18.0,0.0
0.75,0.0,-18.0,-0.009
0.75,0.375,-18.0,-0.018
0.75,0.75,-18.0,-0.025
-0.75,-0.75,-17.0,0.012
-0.75,-0.375,-17.0,0.001
-0.75,0.0,-17.0,-0.01
-0.75,0.375,-17.0,-0.021
-0.75,0.75,-17.0,-0.033
-0.375,-0.75,-17.0,0.008
-0.375,-0.375,-17.0,-0.003
-0.375,0.0,-17.0,-0.014
-0.375,0.375,-17.0,-0.025
-0.375,0.75,-17.0,-0.036
0.0,-0.75,-17.0,0.008
0.0,-0.375,-17.0,-0.003
0.0,0.0,-17.0,-0.015
0.0,0.375,-17.0,-0.026
0.0,0.75,-17.0,-0.036
0.375,-0.75,-17.0,0.008
0.375,-0.375,-17.0,-0.002
0.375,0.0,-17.0,-0.014
0.375,0.375,-17.0,-0.025
0.375,0.75,-17.0,-0.035
0.75,-0.75,-17.0,0.012
0.75,-0.375,-17.0,0.002
0.75,0.0,-17.0,-0.008
0.75,0.375,-17.0,-0.02
0.75,0.75,-17.0,-0.03
-0.75,-0.75,-16.0,0.019
-0.75,-0.375,-16.0,0.004
-0.75,0.0,-16.0,-0.009
-0.75,0.375,-16.0,-0.025
-0.75,0.75,-16.0,-0.04
-0.375,-0.75,-16.0,0.014
-0.375,-0.375,-16.0,0.001
-0.375,0.0,-16.0,-0.015
-0.375,0.375,-16.0,-0.03
-0.375,0.75,-16.0,-0.045
0.0,-0.75,-16.0,0.014
0.0,-0.375,-16.0,0.0
0.0,0.0,-16.0,-0.016
0.0,0.375,-16.0,-0.031
0.0,0.75,-16.0,-0.045
0.375,-0.75,-16.0,0.016
0.375,-0.375,-16.0,0.001
0.375,0.0,-16.0,-0.015
0.375,0.375,-16.0,-0.029
0.375,0.75,-16.0,-0.044
0.75,-0.75,-16.0,0.021
0.75,-0.375,-16.0,0.007
0.75,0.0,-16.0,-0.008
0.75,0.375,-16.0,-0.023
0.75,0.75,-16.0,-0.036
-0.75,-0.75,-15.0,0.029
-0.75,-0.375,-15.0,0.009
-0.75,0.0,-15.0,-0.009
-0.75,0.375,-15.0,-0.03
-0.75,0.75,-15.0,-0.05
-0.375,-0.75,-15.0,0.023
-0.375,-0.375,-15.0,0.003
-0.375,0.0,-15.0,-0.018
-0.375,0.375,-15.0,-0.036
-0.375,0.75,-15.0,-0.056
0.0,-0.75,-15.0,0.022
0.0,-0.375,-15.0,0.003
0.0,0.0,-15.0,-0.018
0.0,0.375,-15.0,-0.038
0.0,0.75,-15.0,-0.057
0.375,-0.75,-15.0,0.024
0.375,-0.375,-15.0,0.004
0.375,0.0,-15.0,-0.016
0.375,0.375,-15.0,-0.036
0.375,0.75,-15.0,-0.055
0.75,-0.75,-15.0,0.031
0.75,-0.375,-15.0,0.012
0.75,0.0,-15.0,-0.007
0.75,0.375,-15.0,-0.028
0.75,0.75,-15.0,-0.046
-0.75,-0.75,-14.0,0.041
-0.75,-0.375,-14.0,0.016
-0.75,0.0,-14.0,-0.01
-0.75,0.375,-14.0,-0.036
-0.75,0.75,-14.0,-0.061
-0.375,-0.75,-14.0,0.032
-0.375,-0.375,-14.0,0.007
-0.375,0.0,-14.0,-0.019
-0.375,0.375,-14.0,-0.045
-0.375,0.75,-14.0,-0.07
0.0,-0.75,-14.0,0.032
0.0,-0.375,-14.0,0.006
0.0,0.0,-14.0,-0.02
0.0,0.375,-14.0,-0.046
0.0,0.75,-14.0,-0.071
0.375,-0.75,-14.0,0.033
0.375,-0.375,-14.0,0.008
0.375,0.0,-14.0,-0.018
0.375,0.375,-14.0,-0.044
0.375,0.75,-14.0,-0.069
0.75,-0.75,-14.0,0.044
0.75,-0.375,-14.0,0.019
0.75,0.0,-14.0,-0.005
0.75,0.375,-14.0,-0.031
0.75,0.75,-14.0,-0.056
