x,y,z,field
-0.75,-0.7500000000000002,-30.0,-0.009
-0.75,-0.3750000000000002,-30.0,-0.009
-0.75,-2.220446049250313e-16,-30.0,-0.009
-0.75,0.3749999999999998,-30.0,-0.009
-0.75,0.7499999999999998,-30.0,-0.009
-0.375,-0.7500000000000002,-30.0,-0.01
-0.375,-0.3750000000000002,-30.0,-0.01
-0.375,-2.220446049250313e-16,-30.0,-0.01
-0.375,0.3749999999999998,-30.0,-0.01
-0.375,0.7499999999999998,-30.0,-0.01
0.0,-0.7500000000000002,-30.0,-0.01
0.0,-0.3750000000000002,-30.0,-0.01
0.0,-2.220446049250313e-16,-30.0,-0.01
0.0,0.3749999999999998,-30.0,-0.01
0.0,0.7499999999999998,-30.0,-0.01
0.375,-0.7500000000000002,-30.0,-0.013
0.375,-0.3750000000000002,-30.0,-0.013
0.375,-2.220446049250313e-16,-30.0,-0.013
0.375,0.3749999999999998,-30.0,-0.013
0.375,0.7499999999999998,-30.0,-0.013
0.75,-0.7500000000000002,-30.0,-0.014
0.75,-0.3750000000000002,-30.0,-0.014
0.75,-2.220446049250313e-16,-30.0,-0.014
0.75,0.3749999999999998,-30.0,-0.014
0.75,0.7499999999999998,-30.0,-0.014
-0.75,-0.7500000000000002,-28.5,-0.009
-0.75,-0.3750000000000002,-28.5,-0.009
-0.75,-2.220446049250313e-16,-28.5,-0.009
-0.75,0.3749999999999998,-28.5,-0.009
-0.75,0.7499999999999998,-28.5,-0.009
-0.375,-0.7500000000000002,-28.5,-0.009
-0.375,-0.3750000000000002,-28.5,-0.009
-0.375,-2.220446049250313e-16,-28.5,-0.009
-0.375,0.3749999999999998,-28.5,-0.009
-0.375,0.7499999999999998,-28.5,-0.009
0.0,-0.7500000000000002,-28.5,-0.01
0.0,-0.3750000000000002,-28.5,-0.01
0.0,-2.220446049250313e-16,-28.5,-0.01
0.0,0.3749999999999998,-28.5,-0.01
0.0,0.7499999999999998,-28.5,-0.01
0.375,-0.7500000000000002,-28.5,-0.013
0.375,-0.3750000000000002,-28.5,-0.013
0.375,-2.220446049250313e-16,-28.5,-0.013
0.375,0.3749999999999998,-28.5,-0.013
0.375,0.7499999999999998,-28.5,-0.013
0.75,-0.7500000000000002,-28.5,-0.014
0.75,-0.3750000000000002,-28.5,-0.014
0.75,-2.220446049250313e-16,-28.5,-0.014
0.75,0.3749999999999998,-28.5,-0.014
0.75,0.7499999999999998,-28.5,-0.014
-0.75,-0.7500000000000002,-27.0,-0.008
-0.75,-0.3750000000000002,-27.0,-0.008
-0.75,-2.220446049250313e-16,-27.0,-0.008
-0.75,0.3749999999999998,-27.0,-0.008
-0.75,0.7499999999999998,-27.0,-0.008
-0.375,-0.7500000000000002,-27.0,-0.009
-0.375,-0.3750000000000002,-27.0,-0.009
-0.375,-2.220446049250313e-16,-27.0,-0.009
-0.375,0.3749999999999998,-27.0,-0.009
-0.375,0.7499999999999998,-27.0,-0.009
0.0,-0.7500000000000002,-27.0,-0.01
0.0,-0.3750000000000002,-27.0,-0.01
