,x,y,z,field
0,-0.75,-0.7484375000000001,-30.0,-0.015
1,-0.75,-0.3734375000000001,-30.0,-0.015
2,-0.75,0.0015624999999999112,-30.0,-0.015
3,-0.75,0.3765624999999999,-30.0,-0.015
4,-0.75,0.7515624999999999,-30.0,-0.015
5,-0.375,-0.7484375000000001,-30.0,-0.014
6,-0.375,-0.3734375000000001,-30.0,-0.014
7,-0.375,0.0015624999999999112,-30.0,-0.014
8,-0.375,0.3765624999999999,-30.0,-0.014
9,-0.375,0.7515624999999999,-30.0,-0.014
10,0.0,-0.7484375000000001,-30.0,-0.013
11,0.0,-0.3734375000000001,-30.0,-0.013
12,0.0,0.0015624999999999112,-30.0,-0.013
13,0.0,0.3765624999999999,-30.0,-0.013
14,0.0,0.7515624999999999,-30.0,-0.013
15,0.375,-0.7484375000000001,-30.0,-0.009
16,0.375,-0.3734375000000001,-30.0,-0.009
17,0.375,0.0015624999999999112,-30.0,-0.01
18,0.375,0.3765624999999999,-30.0,-0.01
19,0.375,0.7515624999999999,-30.0,-0.01
20,0.75,-0.7484375000000001,-30.0,-0.008
21,0.75,-0.3734375000000001,-30.0,-0.008
22,0.75,0.0015624999999999112,-30.0,-0.009
23,0.75,0.3765624999999999,-30.0,-0.009
24,0.75,0.7515624999999999,-30.0,-0.009
25,-0.75,-0.7484375000000001,-28.5,-0.015
26,-0.75,-0.3734375000000001,-28.5,-0.016
27,-0.75,0.0015624999999999112,-28.5,-0.016
28,-0.75,0.3765624999999999,-28.5,-0.016
29,-0.75,0.7515624999999999,-28.5,-0.016
30,-0.375,-0.7484375000000001,-28.5,-0.014
31,-0.375,-0.3734375000000001,-28.5,-0.014
32,-0.375,0.0015624999999999112,-28.5,-0.014
33,-0.375,0.3765624999999999,-28.5,-0.014
34,-0.375,0.7515624999999999,-28.5,-0.015
35,0.0,-0.7484375000000001,-28.5,-0.013
36,0.0,-0.3734375000000001,-28.5,-0.013
37,0.0,0.0015624999999999112,-28.5,-0.013
38,0.0,0.3765624999999999,-28.5,-0.013
39,0.0,0.7515624999999999,-28.5,-0.013
40,0.375,-0.7484375000000001,-28.5,-0.009
41,0.375,-0.3734375000000001,-28.5,-0.009
42,0.375,0.0015624999999999112,-28.5,-0.009
43,0.375,0.3765624999999999,-28.5,-0.009
44,0.375,0.7515624999999999,-28.5,-0.009
45,0.75,-0.7484375000000001,-28.5,-0.008
46,0.75,-0.3734375000000001,-28.5,-0.008
47,0.75,0.0015624999999999112,-28.5,-0.008
48,0.75,0.3765624999999999,-28.5,-0.008
49,0.75,0.7515624999999999,-28.5,-0.008
50,-0.75,-0.7484375000000001,-27.0,-0.016
51,-0.75,-0.3734375000000001,-27.0,-0.016
52,-0.75,0.0015624999999999112,-27.0,-0.016
53,-0.75,0.3765624999999999,-27.0,-0.018
54,-0.75,0.7515624999999999,-27.0,-0.018
55,-0.375,-0.7484375000000001,-27.0,-0.015
56,-0.375,-0.3734375000000001,-27.0,-0.015
57,-0.375,0.0015624999999999112,-27.0,-0.015
58,-0.375,0.3765624999999999,-27.0,-0.015
59,-0.375,0.7515624999999999,-27.0,-0.015
60,0.0,-0.7484375000000001,-27.0,-0.013
61,0.0,-0.3734375000000001,-27.0,-0.013
62,0.0,0.0015624999999999112,-27.0,-0.013
63,0.0,0.3765624999999999,-27.0,-0.013
64,0.0,0.7515624999999999,-27.0,-0.013
65,0.375,-0.7484375000000001,-27.0,-0.009
66,0.375,-0.3734375000000001,-27.0,-0.009
67,0.375,0.0015624999999999112,-27.0,-0.009
68,0.375,0.3765624999999999,-27.0,-0.009
69,0.375,0.7515624999999999,-27.0,-0.009
70,0.75,-0.7484375000000001,-27.0,-0.007
71,0.75,-0.3734375000000001,-27.0,-0.007
72,0.75,0.0015624999999999112,-27.0,-0.007
73,0.75,0.3765624999999999,-27.0,-0.007
74,0.75,0.7515624999999999,-27.0,-0.007
75,-0.75,-0.7484375000000001,-25.5,-0.018
76,-0.75,-0.3734375000000001,-25.5,-0.019
77,-0.75,0.0015624999999999112,-25.5,-0.019
78,-0.75,0.3765624999999999,-25.5,-0.019
79,-0.75,0.7515624999999999,-25.5,-0.019
80,-0.375,-0.7484375000000001,-25.5,-0.015
81,-0.375,-0.3734375000000001,-25.5,-0.015
82,-0.375,0.0015624999999999112,-25.5,-0.015
83,-0.375,0.3765624999999999,-25.5,-0.016
84,-0.375,0.7515624999999999,-25.5,-0.016
85,0.0,-0.7484375000000001,-25.5,-0.013
86,0.0,-0.3734375000000001,-25.5,-0.013
87,0.0,0.0015624999999999112,-25.5,-0.013
88,0.0,0.3765624999999999,-25.5,-0.013
89,0.0,0.7515624999999999,-25.5,-0.013
90,0.375,-0.7484375000000001,-25.5,-0.008
91,0.375,-0.3734375000000001,-25.5,-0.008
92,0.375,0.0015624999999999112,-25.5,-0.008
93,0.375,0.3765624999999999,-25.5,-0.008
94,0.375,0.7515624999999999,-25.5,-0.008
95,0.75,-0.7484375000000001,-25.5,-0.005
96,0.75,-0.3734375000000001,-25.5,-0.005
97,0.75,0.0015624999999999112,-25.5,-0.005
98,0.75,0.3765624999999999,-25.5,-0.005
99,0.75,0.7515624999999999,-25.5,-0.005
100,-0.75,-0.7484375000000001,-24.0,-0.02
101,-0.75,-0.3734375000000001,-24.0,-0.021
102,-0.75,0.0015624999999999112,-24.0,-0.021
103,-0.75,0.3765624999999999,-24.0,-0.021
104,-0.75,0.7515624999999999,-24.0,-0.021
105,-0.375,-0.7484375000000001,-24.0,-0.016
106,-0.375,-0.3734375000000001,-24.0,-0.016
107,-0.375,0.0015624999999999112,-24.0,-0.018
108,-0.375,0.3765624999999999,-24.0,-0.018
109,-0.375,0.7515624999999999,-24.0,-0.018
110,0.0,-0.7484375000000001,-24.0,-0.01
111,0.0,-0.3734375000000001,-24.0,-0.013
112,0.0,0.0015624999999999112,-24.0,-0.013
113,0.0,0.3765624999999999,-24.0,-0.013
114,0.0,0.7515624999999999,-24.0,-0.013
115,0.375,-0.7484375000000001,-24.0,-0.007
116,0.375,-0.3734375000000001,-24.0,-0.007
117,0.375,0.0015624999999999112,-24.0,-0.007
118,0.375,0.3765624999999999,-24.0,-0.007
119,0.375,0.7515624999999999,-24.0,-0.008
120,0.75,-0.7484375000000001,-24.0,-0.002
121,0.75,-0.3734375000000001,-24.0,-0.003
122,0.75,0.0015624999999999112,-24.0,-0.003
123,0.75,0.3765624999999999,-24.0,-0.003
124,0.75,0.7515624999999999,-24.0,-0.003
125,-0.75,-0.7484375000000001,-22.5,-0.024
