,x,y,z,field
0,0.0,0.0,0.0,0.005
1,0.0,0.0,2.0,0.006
2,0.0,0.0,4.0,0.006
3,0.0,0.0,6.0,0.006
4,0.0,0.0,8.0,0.007
5,0.0,0.0,10.0,0.007
6,0.0,0.0,12.0,0.008
7,0.0,0.0,14.0,0.008
8,0.0,0.0,16.0,0.009
9,0.0,0.0,18.0,0.009
10,0.0,0.0,20.0,0.01
11,0.0,0.0,22.0,0.011
12,0.0,0.0,24.0,0.012
13,0.0,0.0,26.0,0.013
14,0.0,0.0,28.0,0.014
15,0.0,0.0,30.0,0.015
16,0.0,0.0,32.0,0.017
17,0.0,0.0,34.0,0.018
18,0.0,0.0,36.0,0.02
19,0.0,0.0,38.0,0.022
20,0.0,0.0,40.0,0.025
21,0.0,0.0,42.0,0.028
22,0.0,0.0,44.0,0.031
23,0.0,0.0,46.0,0.035
24,0.0,0.0,48.0,0.04
25,0.0,0.0,50.0,0.046
26,0.0,0.0,52.0,0.054
27,0.0,0.0,54.0,0.065
28,0.0,0.0,56.0,0.079
29,0.0,0.0,58.0,0.099
30,0.0,0.0,60.0,0.129
31,0.0,0.0,62.0,0.173
32,0.0,0.0,64.0,0.23
33,0.0,0.0,66.0,0.275
34,0.0,0.0,68.0,0.295
35,0.0,0.0,70.0,0.3
36,0.0,0.0,72.0,0.301
37,0.0,0.0,74.0,0.302
38,0.0,0.0,76.0,0.302
39,0.0,0.0,78.0,0.302
40,0.0,0.0,80.0,0.302
41,0.0,0.0,82.0,0.302
42,0.0,0.0,84.0,0.302
43,0.0,0.0,86.0,0.302
44,0.0,0.0,88.0,0.302
45,0.0,0.0,90.0,0.302
46,0.0,0.0,92.0,0.302
47,0.0,0.0,94.0,0.302
48,0.0,0.0,96.0,0.302
49,0.0,0.0,98.0,0.302
50,0.0,0.0,100.0,0.303
51,0.0,0.0,102.0,0.303
52,0.0,0.0,104.0,0.303
53,0.0,0.0,106.0,0.303
54,0.0,0.0,108.0,0.303
55,0.0,0.0,110.0,0.303
56,0.0,0.0,112.0,0.303
57,0.0,0.0,114.0,0.302
58,0.0,0.0,116.0,0.301
59,0.0,0.0,118.0,0.297
60,0.0,0.0,120.0,0.28
61,0.0,0.0,122.0,0.236
62,0.0,0.0,124.0,0.179
63,0.0,0.0,126.0,0.134
64,0.0,0.0,128.0,0.103
65,0.0,0.0,130.0,0.082
66,0.0,0.0,132.0,0.068
67,0.0,0.0,134.0,0.057
68,0.0,0.0,136.0,0.048
69,0.0,0.0,138.0,0.042
70,0.0,0.0,140.0,0.036
71,0.0,0.0,142.0,0.032
72,0.0,0.0,144.0,0.028
73,0.0,0.0,146.0,0.025
74,0.0,0.0,148.0,0.023
75,0.0,0.0,150.0,0.021
76,0.0,0.0,152.0,0.019
77,0.0,0.0,154.0,0.017
78,0.0,0.0,156.0,0.015
79,0.0,0.0,158.0,0.014
80,0.0,0.0,160.0,0.013
81,0.0,0.0,162.0,0.012
82,0.0,0.0,164.0,0.011
83,0.0,0.0,166.0,0.01
84,0.0,0.0,168.0,0.009
85,0.0,0.0,170.0,0.009
86,0.0,0.0,172.0,0.008
87,0.0,0.0,174.0,0.008
88,0.0,0.0,176.0,0.007
89,0.0,0.0,178.0,0.007
90,0.0,0.0,180.0,0.006
