,x,y,z,field
0,-20.000000000000004,-1.5,90.0,0.301
1,-20.000000000000004,-1.0,90.0,0.301
2,-20.000000000000004,-0.5,90.0,0.301
3,-20.000000000000004,0.0,90.0,0.301
4,-20.000000000000004,0.5,90.0,0.301
5,-20.000000000000004,1.0,90.0,0.302
6,-20.000000000000004,1.5,90.0,0.302
7,-15.000000000000004,1.5,90.0,0.302
8,-15.000000000000004,1.0,90.0,0.302
9,-15.000000000000004,0.5,90.0,0.302
10,-15.000000000000004,0.0,90.0,0.302
11,-15.000000000000004,-0.5,90.0,0.302
12,-15.000000000000004,-1.0,90.0,0.302
13,-15.000000000000004,-1.5,90.0,0.302
14,-10.000000000000004,-1.5,90.0,0.302
15,-10.000000000000004,-1.0,90.0,0.302
16,-10.000000000000004,-0.5,90.0,0.302
17,-10.000000000000004,0.0,90.0,0.302
18,-10.000000000000004,0.5,90.0,0.302
19,-10.000000000000004,1.0,90.0,0.302
20,-10.000000000000004,1.5,90.0,0.302
21,-5.0000000000000036,1.5,90.0,0.302
22,-5.0000000000000036,1.0,90.0,0.302
23,-5.0000000000000036,0.5,90.0,0.302
24,-5.0000000000000036,0.0,90.0,0.302
25,-5.0000000000000036,-0.5,90.0,0.302
26,-5.0000000000000036,-1.0,90.0,0.302
27,-5.0000000000000036,-1.5,90.0,0.302
28,-3.552713678800501e-15,-1.5,90.0,0.303
29,-3.552713678800501e-15,-1.0,90.0,0.303
30,-3.552713678800501e-15,-0.5,90.0,0.303
31,-3.552713678800501e-15,0.0,90.0,0.303
32,-3.552713678800501e-15,0.5,90.0,0.303
33,-3.552713678800501e-15,1.0,90.0,0.303
34,-3.552713678800501e-15,1.5,90.0,0.303
35,4.9999999999999964,1.5,90.0,0.303
36,4.9999999999999964,1.0,90.0,0.303
37,4.9999999999999964,0.5,90.0,0.303
38,4.9999999999999964,0.0,90.0,0.303
39,4.9999999999999964,-0.5,90.0,0.303
40,4.9999999999999964,-1.0,90.0,0.303
41,4.9999999999999964,-1.5,90.0,0.303
42,9.999999999999996,-1.5,90.0,0.303
43,9.999999999999996,-1.0,90.0,0.303
44,9.999999999999996,-0.5,90.0,0.303
45,9.999999999999996,0.0,90.0,0.303
46,9.999999999999996,0.5,90.0,0.303
47,9.999999999999996,1.0,90.0,0.303
48,9.999999999999996,1.5,90.0,0.303
49,14.999999999999996,1.5,90.0,0.303
50,14.999999999999996,1.0,90.0,0.303
51,14.999999999999996,0.5,90.0,0.303
52,14.999999999999996,0.0,90.0,0.303
53,14.999999999999996,-0.5,90.0,0.303
54,14.999999999999996,-1.0,90.0,0.303
55,14.999999999999996,-1.5,90.0,0.303
56,19.999999999999996,-1.5,90.0,0.306
57,19.999999999999996,-1.0,90.0,0.306
58,19.999999999999996,-0.5,90.0,0.305
59,19.999999999999996,0.0,90.0,0.305
60,19.999999999999996,0.5,90.0,0.305
61,19.999999999999996,1.0,90.0,0.305
