x,y,z,field
-20.000000000000004,-1.5,90.0,0.301
-20.000000000000004,-1.0,90.0,0.301
-20.000000000000004,-0.5,90.0,0.301
-20.000000000000004,0.0,90.0,0.301
-20.000000000000004,0.5,90.0,0.301
-20.000000000000004,1.0,90.0,0.302
-20.000000000000004,1.5,90.0,0.302
-15.000000000000004,1.5,90.0,0.302
-15.000000000000004,1.0,90.0,0.302
-15.000000000000004,0.5,90.0,0.302
-15.000000000000004,0.0,90.0,0.302
-15.000000000000004,-0.5,90.0,0.302
-15.000000000000004,-1.0,90.0,0.302
-15.000000000000004,-1.5,90.0,0.302
-10.000000000000004,-1.5,90.0,0.302
-10.000000000000004,-1.0,90.0,0.302
-10.000000000000004,-0.5,90.0,0.302
-10.000000000000004,0.0,90.0,0.302
-10.000000000000004,0.5,90.0,0.302
-10.000000000000004,1.0,90.0,0.302
-10.000000000000004,1.5,90.0,0.302
-5.0000000000000036,1.5,90.0,0.302
-5.0000000000000036,1.0,90.0,0.302
-5.0000000000000036,0.5,90.0,0.302
-5.0000000000000036,0.0,90.0,0.302
-5.0000000000000036,-0.5,90.0,0.302
-5.0000000000000036,-1.0,90.0,0.302
-5.0000000000000036,-1.5,90.0,0.302
-3.552713678800501e-15,-1.5,90.0,0.303
-3.552713678800501e-15,-1.0,90.0,0.303
-3.552713678800501e-15,-0.5,90.0,0.303
-3.552713678800501e-15,0.0,90.0,0.303
-3.552713678800501e-15,0.5,90.0,0.303
-3.552713678800501e-15,1.0,90.0,0.303
-3.552713678800501e-15,1.5,90.0,0.303
4.9999999999999964,1.5,90.0,0.303
4.9999999999999964,1.0,90.0,0.303
4.9999999999999964,0.5,90.0,0.303
4.9999999999999964,0.0,90.0,0.303
4.9999999999999964,-0.5,90.0,0.303
4.9999999999999964,-1.0,90.0,0.303
4.9999999999999964,-1.5,90.0,0.303
9.999999999999996,-1.5,90.0,0.303
9.999999999999996,-1.0,90.0,0.303
9.999999999999996,-0.5,90.0,0.303
9.999999999999996,0.0,90.0,0.303
9.999999999999996,0.5,90.0,0.303
9.999999999999996,1.0,90.0,0.303
9.999999999999996,1.5,90.0,0.303
14.999999999999996,1.5,90.0,0.303
14.999999999999996,1.0,90.0,0.303
14.999999999999996,0.5,90.0,0.303
14.999999999999996,0.0,90.0,0.303
14.999999999999996,-0.5,90.0,0.303
14.999999999999996,-1.0,90.0,0.303
14.999999999999996,-1.5,90.0,0.303
19.999999999999996,-1.5,90.0,0.306
19.999999999999996,-1.0,90.0,0.306
19.999999999999996,-0.5,90.0,0.305
19.999999999999996,0.0,90.0,0.305
19.999999999999996,0.5,90.0,0.305
19.999999999999996,1.0,90.0,0.305
19.999999999999996,1.5,90.0,0.033
