x,y,z,Bx,By
-0.75,-0.75,0.0,0.08,0.064
-0.75,-0.375,0.0,0.039,0.067
-0.75,0.0,0.0,-0.002,0.068
-0.75,0.375,0.0,-0.043,0.07
-0.75,0.75,0.0,-0.084,0.072
-0.375,-0.75,0.0,0.072,0.027
-0.375,-0.375,0.0,0.031,0.029
-0.375,0.0,0.0,-0.01,0.031
-0.375,0.375,0.0,-0.051,0.032
-0.375,0.75,0.0,-0.091,0.034
0.0,-0.75,0.0,0.07,-0.014
0.0,-0.375,0.0,0.029,-0.013
0.0,0.0,0.0,-0.01,-0.009
0.0,0.375,0.0,-0.053,-0.008
0.0,0.75,0.0,-0.092,-0.005
0.375,-0.75,0.0,0.07,-0.055
0.375,-0.375,0.0,0.029,-0.054
0.375,0.0,0.0,-0.01,-0.051
0.375,0.375,0.0,-0.051,-0.05
0.375,0.75,0.0,-0.092,-0.049
0.75,-0.75,0.0,0.073,-0.094
0.75,-0.375,0.0,0.032,-0.092
0.75,0.0,0.0,-0.009,-0.09
0.75,0.375,0.0,-0.05,-0.089
0.75,0.75,0.0,-0.09,-0.086
