x,y,z,Bx,By
-0.75,-0.75,0.0,0.106,0.067
-0.75,-0.675,0.0,0.099,0.068
-0.75,-0.6000000000000001,0.0,0.09,0.068
-0.75,-0.5250000000000001,0.0,0.082,0.068
-0.75,-0.4500000000000001,0.0,0.074,0.069
-0.75,-0.3750000000000001,0.0,0.065,0.069
-0.75,-0.3000000000000001,0.0,0.057,0.069
-0.75,-0.2250000000000001,0.0,0.049,0.07
-0.75,-0.15,0.0,0.041,0.07
-0.75,-0.075,0.0,0.033,0.07
-0.75,-8.326672684688674e-17,0.0,0.025,0.07
-0.75,0.0749999999999999,0.0,0.016,0.072
-0.75,0.1499999999999999,0.0,0.008,0.072
-0.75,0.2249999999999999,0.0,-0.001,0.072
-0.75,0.2999999999999999,0.0,-0.008,0.072
-0.75,0.3749999999999999,0.0,-0.017,0.073
-0.75,0.4499999999999999,0.0,-0.024,0.073
-0.75,0.5249999999999999,0.0,-0.033,0.073
-0.75,0.5999999999999999,0.0,-0.041,0.074
-0.75,0.6749999999999998,0.0,-0.049,0.074
-0.75,0.7499999999999998,0.0,-0.057,0.074
-0.675,-0.7500000000000002,0.0,0.104,0.06
-0.675,-0.6750000000000003,0.0,0.095,0.062
-0.675,-0.6000000000000003,0.0,0.086,0.062
-0.675,-0.5250000000000004,0.0,0.079,0.062
-0.675,-0.4500000000000003,0.0,0.07,0.062
-0.675,-0.3750000000000003,0.0,0.062,0.063
-0.675,-0.3000000000000003,0.0,0.054,0.063
-0.675,-0.2250000000000003,0.0,0.046,0.063
-0.675,-0.1500000000000003,0.0,0.038,0.064
-0.675,-0.0750000000000003,0.0,0.029,0.064
-0.675,-3.05311331771918e-16,0.0,0.021,0.064
-0.675,0.0749999999999996,0.0,0.013,0.064
-0.675,0.1499999999999997,0.0,0.004,0.065
-0.675,0.2249999999999997,0.0,-0.004,0.065
-0.675,0.2999999999999997,0.0,-0.012,0.065
-0.675,0.3749999999999997,0.0,-0.021,0.065
-0.675,0.4499999999999997,0.0,-0.028,0.067
-0.675,0.5249999999999997,0.0,-0.036,0.067
-0.675,0.5999999999999996,0.0,-0.044,0.067
-0.675,0.6749999999999996,0.0,-0.053,0.068
-0.675,0.7499999999999996,0.0,-0.06,0.068
-0.6000000000000001,-0.7500000000000004,0.0,0.1,0.053
-0.6000000000000001,-0.6750000000000005,0.0,0.092,0.053
-0.6000000000000001,-0.6000000000000005,0.0,0.084,0.054
