x,y,z,field
-0.75,-0.75,-14.0,0.039
-0.75,-0.375,-14.0,0.013
-0.75,0.0,-14.0,-0.013
-0.75,0.375,-14.0,-0.038
-0.75,0.75,-14.0,-0.064
-0.375,-0.75,-14.0,0.031
-0.375,-0.375,-14.0,0.006
-0.375,0.0,-14.0,-0.021
-0.375,0.375,-14.0,-0.046
-0.375,0.75,-14.0,-0.072
0.0,-0.75,-14.0,0.029
0.0,-0.375,-14.0,0.004
0.0,0.0,-14.0,-0.023
0.0,0.375,-14.0,-0.049
0.0,0.75,-14.0,-0.074
0.375,-0.75,-14.0,0.033
0.375,-0.375,-14.0,0.007
0.375,0.0,-14.0,-0.019
0.375,0.375,-14.0,-0.045
0.375,0.75,-14.0,-0.07
0.75,-0.75,-14.0,0.044
0.75,-0.375,-14.0,0.019
0.75,0.0,-14.0,-0.005
0.75,0.375,-14.0,-0.031
0.75,0.75,-14.0,-0.056
-0.75,-0.75,-13.0,0.049
-0.75,-0.375,-13.0,0.018
-0.75,0.0,-13.0,-0.014
-0.75,0.375,-13.0,-0.044
-0.75,0.75,-13.0,-0.075
-0.375,-0.75,-13.0,0.039
-0.375,-0.375,-13.0,0.008
-0.375,0.0,-13.0,-0.024
-0.375,0.375,-13.0,-0.055
-0.375,0.75,-13.0,-0.086
0.0,-0.75,-13.0,0.037
0.0,-0.375,-13.0,0.007
0.0,0.0,-13.0,-0.025
0.0,0.375,-13.0,-0.056
0.0,0.75,-13.0,-0.087
0.375,-0.75,-13.0,0.042
0.375,-0.375,-13.0,0.011
0.375,0.0,-13.0,-0.021
0.375,0.375,-13.0,-0.052
0.375,0.75,-13.0,-0.084
0.75,-0.75,-13.0,0.057
0.75,-0.375,-13.0,0.026
0.75,0.0,-13.0,-0.004
0.75,0.375,-13.0,-0.036
0.75,0.75,-13.0,-0.066
-0.75,-0.75,-12.0,0.058
-0.75,-0.375,-12.0,0.022
-0.75,0.0,-12.0,-0.014
-0.75,0.375,-12.0,-0.049
-0.75,0.75,-12.0,-0.085
-0.375,-0.75,-12.0,0.045
-0.375,-0.375,-12.0,0.011
-0.375,0.0,-12.0,-0.026
-0.375,0.375,-12.0,-0.061
-0.375,0.75,-12.0,-0.097
0.0,-0.75,-12.0,0.043
0.0,-0.375,-12.0,0.008
0.0,0.0,-12.0,-0.029
0.0,0.375,-12.0,-0.064
0.0,0.75,-12.0,-0.098
0.375,-0.75,-12.0,0.049
0.375,-0.375,-12.0,0.013
0.375,0.0,-12.0,-0.023
0.375,0.375,-12.0,-0.059
0.375,0.75,-12.0,-0.093
0.75,-0.75,-12.0,0.067
0.75,-0.375,-12.0,0.031
0.75,0.0,-12.0,-0.004
0.75,0.375,-12.0,-0.04
0.75,0.75,-12.0,-0.075
-0.75,-0.75,-11.0,0.062
-0.75,-0.375,-11.0,0.024
-0.75,0.0,-11.0,-0.015
-0.75,0.375,-11.0,-0.054
-0.75,0.75,-11.0,-0.091
-0.375,-0.75,-11.0,0.049
-0.375,-0.375,-11.0,0.011
-0.375,0.0,-11.0,-0.028
-0.375,0.375,-11.0,-0.066
-0.375,0.75,-11.0,-0.103
0.0,-0.75,-11.0,0.047
0.0,-0.375,-11.0,0.009
0.0,0.0,-11.0,-0.03
0.0,0.375,-11.0,-0.069
