,x,y,z,field
0,-1.0,-1.0,0.0,0.097
1,-1.0,-0.5,0.0,0.042
2,-1.0,0.0,0.0,-0.014
3,-1.0,0.5,0.0,-0.067
4,-1.0,1.0,0.0,-0.121
5,-0.5,-1.0,0.0,0.093
6,-0.5,-0.5,0.0,0.038
7,-0.5,0.0,0.0,-0.016
8,-0.5,0.5,0.0,-0.071
9,-0.5,1.0,0.0,-0.125
10,0.0,-1.0,0.0,0.095
11,0.0,-0.5,0.0,0.041
12,0.0,0.0,0.0,-0.015
13,0.0,0.5,0.0,-0.069
14,0.0,1.0,0.0,-0.122
15,0.5,-1.0,0.0,0.095
16,0.5,-0.5,0.0,0.041
17,0.5,0.0,0.0,-0.015
18,0.5,0.5,0.0,-0.069
19,0.5,1.0,0.0,-0.122
20,1.0,-1.0,0.0,0.093
21,1.0,-0.5,0.0,0.039
22,1.0,0.0,0.0,-0.016
23,1.0,0.5,0.0,-0.07
24,1.0,1.0,0.0,-0.123
